GPT Name,Description,Link,Setting,# Chats,Category,Use Case,Industry,Business / Consumer?,Featured (Y/N),System Instructions Link,GPT Documentation Link,Notes
Full Stack Copilot,"Scaffolds components from user prompts using React, Tailwind, shadcn/ui, and full-stack logic.",https://chatgpt.com/g/g-681003e70b4081919f5c7accc1096e21-custom-gpt-guide,GPT Store,0,Programming,Software Development,Programming,,,,,"Uploaded with cursor.directory prompts, etc"
Jobs to be Done,Transforms prompts and docs into AI-ready 'Jobs to Be Done' blueprints with guided flows.,https://chatgpt.com/g/g-6802c7da3c688191875f67a5468d82e2-jobs-to-be-done,GPT Store,1,Productivity,Marketing,Productivity,,,,,Use to figure out how to define assistants - devery university chief experience officer
Prayer Companion,"Transforms your worries into heartfelt, personalized prayers.",https://chatgpt.com/g/g-67f897048ab881919b0d33912bd8481d-prayer-companion,GPT Store,1,Lifestyle,Religion & Spirituality,Lifestyle,,,,,Built to help with prayers. prayup on replit is what is is equal to
Chatbot Guide Bot (Using Voice Flow),"Step-by-step chatbot builder using prompts and downloadable .vf files to help with (voiceflow, etc)",https://chatgpt.com/g/g-67f68acfada0819194761d7dc2c8f7bc-chatbot-guide-bot-using-voice-flow,GPT Store,0,Programming,Software Development,Programming,,,,,Built to help with voice flow walk throughs and .vf files
People For GPT,"Mobilizes action to defend democracy, equity, and justice with People For the American Way.",https://chatgpt.com/g/g-67f425684708819190100be5b7052922-people-for-gpt,Private Link,0,,Advocacy & Politics,Lifestyle,,,,,"Built for an organization I pitched, they never used it or responded. peoplefor.org or something, people for the american way, idk wahtever."
Replit Builder,Formats and refines prompts for efficient Replit project building,https://chatgpt.com/g/g-67ebbfd9befc819187ed1174fd1d8289-replit-builder,GPT Store,2,Programming,Software Development,Programming,,,,,Havent finished adding al lreplit docs. wanted to do separate prompt builders for each service.
PromptBuilder Architect V2,"Breaks down app ideas into modular prompts for lovable.dev, tailored by plan tier",https://chatgpt.com/g/g-67ebbfd7c70c8191b0842c96d89af2ac-promptbuilder-architect-v2,GPT Store,0,Programming,Software Development,Programming,,,,,
PromptBuilder Architect,"Creates modular prompt sets for v0.dev, Cursor, and Replit apps with UI, backend, and deploy flows",https://chatgpt.com/g/g-67ebb39985c88191bde258e563a05af8-promptbuilder-architect,GPT Store,50,Programming,Software Development,Programming,,,,,
Unstuck - Newsletter Assistant,"Creates bold, high-impact newsletters in Aaron Kolosik’s voice, using his podcast style.",https://chatgpt.com/g/g-67bd5badb390819198e65a35d8affc54-unstuck-newsletter-assistant,Private Link,0,Productivity,Marketing & Communications,Writing,,,,,"Built for Aron, never finished or sent it. send him an email"
Dropshipping AI Assistant,AI-powered tool for automating dropshipping workflows and optimizing product strategy,https://chatgpt.com/g/g-67a80e4a464881919f740d5178f2c8dd-dropshipping-ai-assistant,GPT Store,2,Productivity,E-Commerce,Productivity,,,,,Built to help people create drop shipping - actually did it during a tutorial build as a test
GPT Project Instructions Builder,"The ultimate builder for elite, deployment-ready GPT Instructions and PRDs",https://chatgpt.com/g/g-67a6bd4478e88191ab5fe72a7a0c7375-gpt-project-instructions-builder,GPT Store,20,Programming,Software Development,Programming,,,,,
KNO Builder,"Modernizes KNO project with scripts, UI, and optimizations.",https://chatgpt.com/g/g-67a6b512ae50819188596e1797bff14a-kno-builder,Only Me,0,Programming,Software Development,Programming,,,,,
Dynamic GPT Project Generator,Generates GPT-based projects using PRD and UI inputs.,https://chatgpt.com/g/g-67a6627ce5e08191be699f5c2f58eef0-dynamic-gpt-project-generator,GPT Store,3,Programming,Software Development,Programming,,,,,
Study Coach (for aws),AWS study coach focused on cloud concepts and certification prep,https://chatgpt.com/g/g-67a65e9f05088191aaccccb1691ec6fd,Only Me,0,Education,Education,Education,,,,,wouldnt work because of copyrighting or something
Cloud Course Assistant,Your personal cloud study assistant,https://chatgpt.com/g/g-67a65a6345648191aef0686947a54223-cloud-course-assistant,GPT Store,10,Education,Education,Education,,,,,generic but i think it's focused on AWS
Project Structure Architect,Generates dynamic project structures from PRDs.,https://chatgpt.com/g/g-67a5092e227c81919212f7862604d5cf-project-structure-architect,GPT Store,7,Programming,Software Development,Programming,,,,,
(PRD) Product Requirements Document Builder,"Generates PRDs, instructions, and custom resources.",https://chatgpt.com/g/g-67a465d99950819186563b257bac0d88-prd-product-requirements-document-builder,GPT Store,10,Research & Analysis,Product Management,Research & Analysis,,,,,
Tax Assistant Pro GPT,Guide users through personal and business tax preparation.,https://chatgpt.com/g/g-67a279ecea1481919e8ddc3179102670-tax-assistant-pro-gpt,GPT Store,1,Productivity,Finance & Accounting,Productivity,,,,,tried a couple to help with personal and business
Call Insights Assistant,"Analyzes client calls, provides summaries and updates sheets.",https://chatgpt.com/g/g-67a27017ace48191aed2c1b72bbf8f9d-call-insights-assistant,GPT Store,1,Productivity,Customer Service,Productivity,,,,,
Texts Not to Send,"Send messages to me, not your ex",https://chatgpt.com/g/g-67a26b57cb6881918da575f7c7db4129-texts-not-to-send,GPT Store,5,Lifestyle,Personal Relationships,Lifestyle,,,,,
Dynamic Resource Aggregator,Dynamic resource aggregator with user-defined tables.,https://chatgpt.com/g/g-67a132ccde2c8191bc1c6f5aaa8a118b-dynamic-resource-aggregator,GPT Store,9,Research & Analysis,Information Management,Research & Analysis,,,,,"Was supposed to use to send resource link to this and then it creates a breakdown of everything in it parses it, so like if it"
Job Link Parser & Tracker,Parses job links and creates tracking spreadsheets.,https://chatgpt.com/g/g-67a119ca27a8819189c4d16e1c18d3cc-job-link-parser-tracker,GPT Store,10,Productivity,Human Resources,Productivity,,,,,"v1, supposed to extract links and send them to spreadsheet"
WealthMind AI,A personal budget tracker and financial guide.,https://chatgpt.com/g/g-67a0f3c833348191b20061efa83d5847-wealthmind-ai,GPT Store,4,Productivity,Finance,Productivity,,,,,supposed oto be budget planer
Job Search Assistant,"Parse job links, track jobs, and generate tailored resumes",https://chatgpt.com/g/g-679fe1e9d5248191849631baced67ec5-job-search-assistant,GPT Store,20,Productivity,Human Resources,Productivity,,,,,
RAG-DAL,Autonomous Knowledge Base (RAG) Builder for Retrieval-Augmented Generation for Dynamic Autonomous Learning,https://chatgpt.com/g/g-679e8aa68d70819185c2f072b4bf2065-rag-dal-knowledgebase-builder,GPT Store,20,Research & Analysis,Information Technology,Research & Analysis,,,,,
Tenny Search,Save apartment listing links and parse them into organized CSV format.,https://chatgpt.com/g/g-679b58aee3488191baf80c3c9ad90bef-tenny-search,GPT Store,10,Productivity,Real Estate,Productivity,,,,,
Jesus Guide Me,Guides users in Bible and Gnostic study with tailored questions and reflective notes.,https://chatgpt.com/g/g-67a0293f54ec8191a8a7925eb7800963-jesus-guide-me,GPT Store,0,Education,Religious Education,Education,,,,,
ApplyGPT,Guides users in crafting job applications and preparing for interviews.,https://chatgpt.com/g/g-679afade60e48191aba8bf66a54d8e8a-applygpt,GPT Store,20,Productivity,Career Development,Productivity,,,,,
Assistant Template Generator,Generates OpenAI Assistant API templates and setup guides.,https://chatgpt.com/g/g-67853e2243348191ab1ad2f89c02d3ef-assistant-template-generator,GPT Store,0,Programming,Software Development,Programming,,,,,
Personal Video Coach,Creates professional video scripts for job pitches or any subject you choose.,https://chatgpt.com/g/g-678433cdeaa481918b3e95c5cfccb32d-personal-video-coach,GPT Store,0,Productivity,Marketing & Communications,Writing,,,,,made it originally for 60 second personal video for a job/about yourself video
Cosmic Oracle,Your cosmic guide for personalized astrology insights.,https://chatgpt.com/g/g-6781683b25b88191be28d4d4596c746e-cosmic-oracle,GPT Store,2,Lifestyle,Entertainment,Lifestyle,,,,,idk made it for bea originally for her birthday stuff
The Profile Wingman,"Optimize dating profiles with engaging, app-specific content.",https://chatgpt.com/g/g-6781573a72dc81919c5d98ef9d0e67bb-the-profile-wingman,GPT Store,0,Lifestyle,Lifestyle,Lifestyle,,,,,never used it
Musk Insights Tracker,"Tracks Elon Musk's social, financial, and political influence.",https://chatgpt.com/g/g-678155531ef08191b64844337cdefc05-musk-insights-tracker,GPT Store,2,Lifestyle,Media & Entertainment,Lifestyle,,,,,"to figure out what he's up to, co invest etc or hide lol"
Driving Test Genius,US Driving Test Prep Assistant for all states.,https://chatgpt.com/g/g-677f99e5db28819194f03aed0ae7bd58-driving-test-genius,GPT Store,6,Education,Education,Education,,,,,
DOGER,"Analyzes budgets to find inefficiencies, propose AI solutions, and inspire community contributions.",https://chatgpt.com/g/g-677f30c415208191ac4429c9952a492d-doger,GPT Store,2,Research & Analysis,Finance,Research & Analysis,,,,,
AI Palmistry Guide,"AI-powered virtual palm reader offering insightful, accurate, and personalized palm readings.",https://chatgpt.com/g/g-677d762e938481919973a4b587184c40-ai-palmistry-guide,GPT Store,10,Lifestyle,Entertainment,Lifestyle,,,,,
Artist Budget Guide,Helps artists create realistic budgets for their projects.,https://chatgpt.com/g/g-677c38ca83cc8191962b0d2e84a8f377-artist-budget-guide,GPT Store,0,Productivity,Arts & Entertainment,Productivity,,,,,good tool no one uses it
Unleash Your Sales Greatness,"Empowers users with practical, empathetic sales training and growth strategies. Powered by unleashyoursalesgreatness.com",https://chatgpt.com/g/g-6778556e2ef481918fdead30de50fb95-unleash-your-sales-greatness,GPT Store,0,Productivity,Sales,Productivity,,,,,for geraldy unleashyoursalesgreatness.com
SongByrd,Your ultimate AI-powered songwriting assistant for hits.,https://chatgpt.com/g/g-67723c217e1481918982a34fe2bf360d-songbyrd,GPT Store,0,Productivity,Music & Entertainment,Lifestyle,,,,,"for song lyrics etc, entertainment"
Elite Design Studio,Agency-level designer with GPT-4o power for elite branding and visual identity systems,https://chatgpt.com/g/g-67721e4ac2008191b639f731f8f2b908-elite-design-studio,GPT Store,10,DALL·E,Design & Creative,DALL·E,,,,,"image generation, for logos, etc"
DCASE 312,Your AI-powered cultural engagement guide for Chicago's Department of Cultural Affairs and Special Events (DCASE).,https://chatgpt.com/g/g-676ad343f78c81919598a8969432a163-dcase-312,GPT Store,0,Productivity,Government & Culture,Productivity,,,,,"for city of chicago, to reach out for all services and build partnership, black owned business, etc."
A&R Campaign Architect,"Elite A&R strategist for artist campaigns across blogs, playlists, venues, and licensing platforms",https://chatgpt.com/g/g-676aa9f4295081918c546999524f2e84-a-r-campaign-architect,GPT Store,2,Productivity,Music Industry,Productivity,,,,,
Instruction Architect,Setting the gold standard for AI system instruction design.,https://chatgpt.com/g/g-676964c88b088191b70dcd4133ae2595-1-system-instruction-architect,GPT Store,100,Productivity,Software Development,Productivity,,,,,
Artispreneur Email Generator,Generate emails for your music campaign,https://chatgpt.com/g/g-676913cfd1d48191b595497379d27d99-artispreneur-email-generator,GPT Store,1,Writing,Music Marketing,Writing,,,,,
PlaceCode,"Designs and optimizes web solutions with tailored scripts, seamless integrations, and deployment-ready assets.",https://chatgpt.com/g/g-67689e24ba088191915d9f046ca55c6d-placecode,GPT Store,10,Programming,Software Development,Programming,,,,,
Horizon UI Copilot,Build and deploy sleek UIs for assistants using Horizon UI.,https://chatgpt.com/g/g-6765c87b5548819197f8a8b5191d253c-horizon-ui-copilot,GPT Store,8,Programming,Software Development,Programming,,,,,
Custom UI Chatbot Assistant,Configures CSS/HTML Templates and project files to match open ai assistant apis,https://chatgpt.com/g/g-67612822fb34819198549b0396a5d6e5-custom-ui-chatbot-assistant,GPT Store,7,,Software Development,Programming,,,,,
Omni Architect,Master problem solver and workflow designer across all domains.,https://chatgpt.com/g/g-6749234181b88191a9e9cf4940f29900-omni-architect,GPT Store,3,,General,Productivity,,,,,
Sixth Automation,Expert automation assistant for Make.com and Softr scenarios.,https://chatgpt.com/g/g-673eed917eec81918514e2a40f890fd6-sixth-automation,GPT Store,0,,Software Development,Programming,,,,,
Artist Business Plan Generator,Guides artists in building tailored business plans and growth strategies.,https://chatgpt.com/g/g-673240bec7c08190af4bf954dcef16a5-artist-business-plan-generator,GPT Store,2,,Music Business,Productivity,,,,,
HouseofAshburn Executive Assistant,Luxury brand executive assistant driving strategic growth,https://chatgpt.com/g/g-WtZYSpBvN-houseofashburn-executive-assistant,Private Link,1,,Luxury Retail,Productivity,,,,,
My Smart Tax Advisor,Personalized U.S. tax assistant for entrepreneurs,https://chatgpt.com/g/g-MQEBlp8iN-my-smart-tax-advisor,GPT Store,6,,Finance & Tax,Productivity,,,,,
Image Sourcing Analyst,Extracts relevant image URLs from sites for visual content enhancement,https://chatgpt.com/g/g-bVKch7kAf-image-sourcing-analyst,GPT Store,3,,Marketing,Productivity,,,,,
Pats Tap,"Your private entrepreneurial assistant, guiding and growing with you for all business tasks.",https://chatgpt.com/g/g-Syau71cX6-pats-tap,Only Me,0,,Entrepreneurship,Productivity,,,,,
RSS Assist,"Transforms RSS feeds into engaging, SEO-optimized blogs with ethical attribution and rich insights.",https://chatgpt.com/g/g-gOBjQdiWm-rss-assist,GPT Store,8,,Content Marketing,Writing,,,,,
NPAO Bot,Helps users prioritize and analyze tasks using N.P.A.O. for clarity and growth.,https://chatgpt.com/g/g-5BWmDw3PN-npao-bot,GPT Store,2,,Personal Development,Productivity,,,,,
The Tie Breaker,Builds a futuristic voting platform driven by AI and blockchain for smart governance.,https://chatgpt.com/g/g-N1teuetQp-the-tie-breaker,GPT Store,0,,Blockchain Technology,Programming,,,,,
Ultimate Survival AI,Your definitive companion for mastering survival in any environment.,https://chatgpt.com/g/g-NujG6TmqR-ultimate-survival-ai,GPT Store,1,,Outdoor & Survival,Lifestyle,,,,,
Visual Content Studio,"Convert text into visual formats, automate creative workflows, and generate product videos.",https://chatgpt.com/g/g-VEJl08aRo-visual-content-studio,GPT Store,0,DALL-E,Design & Content Creation,DALL·E,,,,,
Sales Process Assistant,"AI assistant for seamless sales automation, CRM integration, and actionable sales insights.",https://chatgpt.com/g/g-HqlEVB4Se-sales-process-assistant,GPT Store,10,,Sales,Productivity,,,,,
Business Automation Guide,"Expert guide for automating business workflows and integrating tools like Softr, Zapier, and GPT.",https://chatgpt.com/g/g-f4GHCIImp-business-automation-guide,GPT Store,7,,Business Automation,Productivity,,,,,
Technical Writing Pro,"Expert in refining technical copy, creating processes, and crafting goal-oriented documents.",https://chatgpt.com/g/g-DfNpo3dNS-technical-writing-pro,GPT Store,0,,Technical Writing,Writing,,,,,
Crime Tracker Chicago,"Real-time crime intelligence for Chicago with maps, reports, and predictive analytics.",https://chatgpt.com/g/g-pKjwPnJ18-crime-tracker-chicago,GPT Store,4,,Public Safety,Research & Analysis,,,,,
Outreach Automator,Automates email outreach tasks in HubSpot with personalized emails.,https://chatgpt.com/g/g-lISjbhdPs-outreach-automator,GPT Store,0,,Sales & Marketing,Productivity,,,,,
Strategic Business Architect,"Expert guide for strategic growth, sales optimization, and business model innovation.",https://chatgpt.com/g/g-sVjPH8xUg-strategic-business-architect,GPT Store,5,,Business Strategy,Productivity,,,,,
AutomateGPT,Automate custom GPT creation based on Airtable data.,https://chatgpt.com/g/g-p7fv7jXmo-automategpt,GPT Store,2,,Software Development,Programming,,,,,
Unstuck Master Plan GPT,Conversational AI coach guiding users step-by-step through the Power Assessment.,https://chatgpt.com/g/g-73w9nmSXx-unstuck-master-plan-gpt,GPT Store,4,,Personal Development,Lifestyle,,,,,
Business Audit,Dynamic business audit and strategic planning assistant.,https://chatgpt.com/g/g-ATFdQizuP-business-audit,GPT Store,10,,Business Strategy,Productivity,,,,,
GPT Configurator,"Creates detailed, formatted documents from GPT configurations.",https://chatgpt.com/g/g-rIfzVdt47-gpt-configurator,GPT Store,10,,Software Development,Programming,,,,,
BLK Heights Career Coach,Empowering coach and content guide for BLK Heights’ tech-driven community. Powered by www.blkheights.com.,https://chatgpt.com/g/g-faUugyEGJ-blk-heights-career-coach,GPT Store,10,,Career Development,Education,,,,,
List Manager,Organizes and manages apartment listings with categorization and search tools.,https://chatgpt.com/g/g-ZJWsFRQRZ-list-manager,GPT Store,4,,Real Estate,Productivity,,,,,
HUMINT,Simulates and teaches human intelligence skills focused on self-awareness and empathy.,https://chatgpt.com/g/g-vZ4ywRsqf-humint,GPT Store,10,,Security & Intelligence,Education,,,,,
Image Scraper Pro,Efficient GPT for scraping and returning relevant image URLs.,https://chatgpt.com/g/g-FuPsdlwkZ-image-scraper-pro,GPT Store,40,,Marketing,Productivity,,,,,
Web Image Extractor,Extracts and returns the most relevant image URLs from websites.,https://chatgpt.com/g/g-SrwBDwnJd-web-image-extractor,GPT Store,0,,Marketing,Productivity,,,,,
Political Campaign Guide,"Your comprehensive guide for political campaigns and elections, providing direct answers and insights.",https://chatgpt.com/g/g-tL61iT0zl-political-campaign-guide,GPT Store,40,,Politics & Campaigning,Productivity,,,,,
Prossley,"AI-powered sales architect delivering actionable, data-driven insights for optimized client engagement.",https://chatgpt.com/g/g-s0HyR5nM8-prossley,GPT Store,0,,Sales,Productivity,,,,,
Revenue Strategist,Guides businesses in crafting custom sales strategies using Predictable Revenue Modeling.,https://chatgpt.com/g/g-IkaglNabJ-revenue-strategist,GPT Store,0,,Sales & Marketing,Productivity,,,,,
ArtBeat Covers,Helps artists create visually stunning cover art tailored to their music.,https://chatgpt.com/g/g-Ja6aQCuTg-artbeat-covers,GPT Store,10,,Design & Creative,DALL·E,,,,,
Music Biz Daily Digest,Creates a daily digest of top music industry business news.,https://chatgpt.com/g/g-tkvx0g5zl-music-biz-daily-digest,GPT Store,0,,Music Industry,Research & Analysis,,,,,
Artist Resource Hub,"Your ultimate guide to music industry resources, deals, and news.",https://chatgpt.com/g/g-gmfOMW8bv-artist-resource-hub,GPT Store,30,,Music Industry,Research & Analysis,,,,,
Hero Image Extractor Pro,Effortlessly extracts hero images from websites for seamless data integration.,https://chatgpt.com/g/g-kyazQOR1h-hero-image-extractor-pro,GPT Store,10,,Marketing,Productivity,,,,,
Mighty Oaks Capital Assistant,"AI chatbot for MightyOaksCapitalPartners.com, streamlining user inquiries and engagement.",https://chatgpt.com/g/g-pB6vFykTE-mighty-oaks-capital-assistant,GPT Store,0,,Finance,Productivity,,,,,
GPT Creator Pro,"Advanced GPT architect specializing in prompt engineering, optimization, and deployment.",https://chatgpt.com/g/g-s9YtL560v-gpt-creator-pro,GPT Store,40,,Software Development,Programming,,,,,
DocuScript,Guide users in creating compelling documentaries from start to finish.,https://chatgpt.com/g/g-fohlSe9g9-docuscript,GPT Store,1,,Film & Media,Writing,,,,,
AI Newsletter Assistant,Builds and writes daily AI newsletters with fresh news and smart resource curation.,https://chatgpt.com/g/g-68120a8c7aa08191bd2da528ea3bd7ee-ai-newsletter-assistant,GPT Store,0,,Marketing,Writing,,,,,
Artist Interview Bot,Collects and shares artists' insights for aspiring talents.,https://chatgpt.com/g/g-mMIuI7n2u-artist-interview-bot,GPT Store,0,,Music Industry,Education,,,,,
EPK Builder,"Creates EPKs for musicians, crafting engaging bios and media kits.",https://chatgpt.com/g/g-k1G0USEyh-epk-builder,GPT Store,30,,Music Marketing,Productivity,,,,,
Artist AI Coach,Connects artists with AI-powered personal tutors based on real artist experiences.,https://chatgpt.com/g/g-y8hqJDMiF-artist-ai-coach,GPT Store,0,Lifestyle,Music Industry,Lifestyle,,,,,
ArtistConnect,"Connect with artists for real advice, mentorship, and coaching based on true journeys.",https://chatgpt.com/g/g-EWhVQersh-artistconnect,GPT Store,0,Education,Music Industry,Education,,,,,
ChicagoESQ,Learn about Chicago Justice System,https://chatgpt.com/g/g-N0Vkz5UV0-chicagoesq,GPT Store,6,,Legal,Education,,,,,
ERC Assistant,Guides in filling out employee retention credit forms,https://chatgpt.com/g/g-bq6pdBN1d-erc-assistant,GPT Store,4,,Finance & Accounting,Productivity,,,,,
AlgoVest,Personal Investment Algorithm Creator,https://chatgpt.com/g/g-ZKskCRKA7-algovest,GPT Store,9,,Finance,Research & Analysis,,,,,
RSS Aggregator,Curates and exports tailored RSS feed lists for any industry or niche.,https://chatgpt.com/g/g-jKy7Famu9-rss-aggregator,GPT Store,40,,Media & News,Productivity,,,,,
Side Hustle Finder,Helps users discover quick and easy side hustle opportunities via mobile apps and platforms.,https://chatgpt.com/g/g-PVbv64iXx-side-hustle-finder,GPT Store,10,,Entrepreneurship,Lifestyle,,,,,
FlowBud,"Build custom agents with OpenAI, Zapier, Make, Dialogflow, and more.",https://chatgpt.com/g/g-BlpSmLwM3-flowbud,GPT Store,50,,Software Development,Programming,,,,,
Highly Suggested Prompts (HSPs),Refines prompts with precision for optimal AI performance and clarity.,https://chatgpt.com/g/g-haeo2jTUS-highly-suggested-prompts-hsps,GPT Store,90,,Software Development,Programming,,,,,
Relevance AI Custom Agent Builder,"Uses Relevance.ai documentation to help guide you with agent, tool and bot creation. Just enter a prompt of what you'd like to build!",https://chatgpt.com/g/g-pSPhvxvMh-relevance-ai-custom-agent-builder,GPT Store,100,,Software Development,Programming,,,,,
Relevance AI Assistant ,"Uses Relevance.ai documentation to help guide you with agent, tool and bot creation. Just enter a prompt of what you'd like to build!",https://chatgpt.com/g/g-bymrCVdYD-relevance-ai-assistant,GPT Store,0,,Software Development,Programming,,,,,
Jo Kraft,Expert joke crafter who helps develop jokes based on user's style.,https://chatgpt.com/g/g-pCiEuWm6P-jo-kraft,GPT Store,2,,Entertainment,Lifestyle,,,,,
Showcase,"Create your open mic, showcase, or release party.",https://chatgpt.com/g/g-Fzqo1n15t-showcase,GPT Store,10,,Entertainment,Lifestyle,,,,,
Artist Bio Creator,Guides musicians through creating professional artist biographies.,https://chatgpt.com/g/g-aWdPi7rXs-artist-bio-creator,GPT Store,10,,Music Marketing,Writing,,,,,
Stori,"I'll guide you through writing professional scripts and storyboards, complete with visual storytelling tools.",https://chatgpt.com/g/g-e1Hu90qGa-stori,GPT Store,40,,Media & Entertainment,Writing,,,,,
Uney: Illinois Unemployment Guide,Expert on Illinois unemployment insurance.,https://chatgpt.com/g/g-cUZm3JhdJ-uney-illinois-unemployment-guide,GPT Store,10,,Government Services,Productivity,,,,,
Recalla,Intuitive recall agent providing detailed recall lists.,https://chatgpt.com/g/g-Y4fMRqFFf-recalla,GPT Store,7,,Personal Productivity,Productivity,,Y,,,
Code Camp Mentor,Your personalized coding bootcamp tutor for Python and AI.,https://chatgpt.com/g/g-b1hlsjRXX-code-camp-mentor,GPT Store,10,,Education,Education,,,,,
Sales Commander,General of Your Sales Army,https://chatgpt.com/g/g-MqLy87WdT-sales-commander,GPT Store,3,,Sales & Marketing,Productivity,,,,,
Armie,Advanced artist development and management bot assisting artists to become entrepreneurs.,https://chatgpt.com/g/g-YwyaCFT7Y-armie,GPT Store,8,,Music Industry,Productivity,,,,,
AuctoPilot,"Find auctions, foreclosures, estate sales near you.",https://chatgpt.com/g/g-98xUvWZ0A-auctopilot,GPT Store,6,,E-Commerce,Lifestyle,,,,,
Theory Formulation Assistant,"Assists in theory formulation and investigation, explaining and applying the 'nx' theory, where x represents known possibilities and n represents unknown possibilities.",https://chatgpt.com/g/g-sxSTVv4og-theory-formulation-assistant,GPT Store,7,,Academic Research,Research & Analysis,,,,,
InterviewGPT,Streamlined job application assistant for optimizing resumes and managing application tracking.,https://chatgpt.com/g/g-IcSrCDQKp-interviewgpt,GPT Store,20,,Career Development,Productivity,,,,,
Relevance AI Assistant,"Uses Relevance.ai documentation to help guide you with agent, tool, bot creation, action scripts, and function schemas.",https://chatgpt.com/g/g-VrvXFHyLD-relevance-ai-assistant,GPT Store,30,,Software Development,Programming,,,,,
Algorithm Architect,Helps create algorithms and code with tutorials.,https://chatgpt.com/g/g-U2en92Qdn-algorithm-architect,GPT Store,10,,Software Development,Programming,,,,,
WordUp,Wordpress Assistant,https://chatgpt.com/g/g-L6f108GSb-wordup,GPT Store,6,,Software Development,Programming,,,,,
API Guide,"Allow me to make custom actions and functions using APIs, by uploading documentation and asking for step-by-step instructions.",https://chatgpt.com/g/g-vSbY2y8pd-api-guide,GPT Store,10,,Music Industry,Productivity,,,,,
SyncMaster,Find music supervisors and libraries to submit your music to.,https://chatgpt.com/g/g-hvolaQ0yh-syncmaster,GPT Store,10,,Music & Media,DALL·E,,,,,
SongVid,Powered by Artispreneur. Create a music video with stock footage based on a song upload,https://chatgpt.com/g/g-z0ounFAlV-songvid,GPT Store,30,,Music Industry,Productivity,,,,,
Reggie: P.R.O.,A specialized assistant helping users register for PROs and manage music portfolios.,https://chatgpt.com/g/g-2eyNECKRg-reggie-p-r-o,GPT Store,7,,Music & Entertainment,Lifestyle,,,,,
MicSpot,Powered by Artispreneur. This GPT finds open mics in your area for Comedy and Music. All content generated from www.badslava.com,https://chatgpt.com/g/g-maDxBXHrX-micspot,GPT Store,4,,Music Marketing,Productivity,,,,,
E-Milly,Crafts data-driven campaigns for music promotion.,https://chatgpt.com/g/g-gmDJhtOzO-e-milly,GPT Store,4,,E-Commerce,Writing,,,,,
Product Description Editor,Creates polished product descriptions for ecommerce platforms like WooCommerce.,https://chatgpt.com/g/g-kHM2PFMAp-product-description-editor,GPT Store,0,,Music Industry,Productivity,,Y,,,
MusicTracts - Split Sheet Agreement,Your go-to tool for generating professional Music Split Sheet Agreements effortlessly.,https://chatgpt.com/g/g-xtRcRaLBy-musictracts-split-sheet-agreement,GPT Store,30,,Consumer Services,Lifestyle,,,,,
ProMe,Enter a company before you sign up and get new user codes.,https://chatgpt.com/g/g-2so7aRjk7-prome,GPT Store,10,,Consumer Services,Lifestyle,,,,,
1Promo,Enter a company before you sign up and get new user codes.,https://chatgpt.com/g/g-guHxZadWZ-1promo,GPT Store,0,,Music Industry,Productivity,,,,,
